"_id","Name","Address","mob_no","Email_ID","DOB","Gender","Blood_Group","Course","Enrollment_Year","Enrollment_No","Education","Known_language","Hobbies","mob_No"
"5e01fcb8951cac7c7483be2e","{""first_name"":""Gitali"",""last_name"":""Raj""}","{""Residential_add"":""Bihar"",""Permanent_add"":""Bihar""}","[""+389 299 497 0898"",""+1 865 865 7603""]","lobortis.quam@scelerisquescelerisquedui.net","1992-11-28","Male","B+","MCA","2019","16301411","{""Post_Graduation"":""Sem Incorporated"",""PG_percentage"":39,""Under_Graduation"":""Lorem Ipsum Dolor Institute"",""UG_percentage"":52,""HSC"":""Tristique Foundation"",""HSC_percentage"":63,""SSC"":""Tristique Foundation"",""SSC_percentage"":82}","[""Chinese"",""Korean"",""Belarusian""]","[""Sigging"",""Reading"",""Writing""]",
"5e01fcb8951cac7c7483be47","{""first_name"":""Saparna"",""last_name"":""Raj""}","{""Residential_add"":""Bihar"",""Permanent_add"":""Jharkhand""}","[""+62 422 720 1248"",""+63 978 272 1660""]","ut.eros@convallisest.org","2015-08-25"," Female","O-","MCA","2020","37310070","{""Post_Graduation"":""Parturient Montes Nascetur Corporation"",""PG_percentage"":83,""Under_Graduation"":""At Iaculis Ltd"",""UG_percentage"":88,""HSC"":""Quisque Libero Foundation"",""HSC_percentage"":61,""SSC"":""Nulla Vulputate Dui Foundation"",""SSC_percentage"":58}","[""Chinese"",""Hungarian"",""Bislama""]","[""Writing"",""Dancing"",""Reading""]",
"5e01fcb8951cac7c7483be36","{""first_name"":""Bhairav"",""last_name"":""Raj""}","{""Residential_add"":""Uttar Pradesh"",""Permanent_add"":""Tamil Nadu""}","[""+56 866 468 2635"",""+850 212 719 9788""]","montes.nascetur@in.ca","2009-12-30","Male","AB+","MCA","2020","48191697","{""Post_Graduation"":""Eu Associates"",""PG_percentage"":65,""Under_Graduation"":""Duis Elementum Consulting"",""UG_percentage"":55,""HSC"":""Rutrum Justo Praesent Corporation"",""HSC_percentage"":49,""SSC"":""Dui Cras Pellentesque Ltd"",""SSC_percentage"":64}","[""Dhivehi"",""Dutch"",""Portuguese""]","[""Writing"",""Reading"",""Dancing""]",
"5e01fcb8951cac7c7483be2d","{""first_name"":""Manprasad"",""last_name"":""Patel""}","{""Residential_add"":""Bihar"",""Permanent_add"":""Madhya Pradesh""}","[""+86 319 946 9742"",""+63 752 761 6653""]","nisl@Crasdictum.co.uk","2012-08-14"," Female","AB-","MCA","2019","11959650","{""Post_Graduation"":""Adipiscing LLP"",""PG_percentage"":88,""Under_Graduation"":""Lectus Quis Foundation"",""UG_percentage"":54,""HSC"":""Duis Inc."",""HSC_percentage"":66,""SSC"":""Nullam Ut Foundation"",""SSC_percentage"":42}","[""Haitian Creole"",""Montenegrin"",""Oriya""]","[""Sigging"",""Reading"",""Dancing""]",
"5e01fcb8951cac7c7483be40","{""first_name"":""Anil"",""last_name"":""Singh""}","{""Residential_add"":""Delhi"",""Permanent_add"":""Assam""}","[""+261 229 279 7469"",""+7 478 697 7040""]","libero@dolor.co.uk","2001-08-29","Male","B+","MCA","2019","44482119","{""Post_Graduation"":""Leo Industries"",""PG_percentage"":98,""Under_Graduation"":""Mauris Nulla Integer Ltd"",""UG_percentage"":61,""HSC"":""Ut LLC"",""HSC_percentage"":84,""SSC"":""Fusce Industries"",""SSC_percentage"":62}","[""Norwegian"",""Tamil"",""Kurdish""]","[""Dancing"",""Reading"",""Writing""]",
"5e01fcb8951cac7c7483be44","{""first_name"":""Gopichand"",""last_name"":""Ismail""}","{""Residential_add"":""Maharastra"",""Permanent_add"":""Odisha""}","[""+269 723 252 6892"",""+86 570 604 0947""]","convallis@Sednullaante.edu","2014-11-16"," Female","O+","MCA","2019","14929382","{""Post_Graduation"":""Magnis Dis Foundation"",""PG_percentage"":80,""Under_Graduation"":""Luctus Industries"",""UG_percentage"":68,""HSC"":""Sodales At Velit Limited"",""HSC_percentage"":64,""SSC"":""Cras Sed Leo Incorporated"",""SSC_percentage"":45}","[""Afrikaans"",""Gagauz"",""Zulu""]","[""Writing"",""Sigging"",""Dancing""]",
"5e01fcb8951cac7c7483be54","{""first_name"":""Riddhiman"",""last_name"":""Raj""}","{""Residential_add"":""Gujarat"",""Permanent_add"":""Karnataka""}","[""+237 180 457 7299"",""+62 715 838 1355""]","sed.dolor.Fusce@rutrumjusto.com","2001-05-26"," Female","AB+","MCA","2020","49242656","{""Post_Graduation"":""Nec LLP"",""PG_percentage"":73,""Under_Graduation"":""Magna Praesent Company"",""UG_percentage"":95,""HSC"":""Maecenas Iaculis LLP"",""HSC_percentage"":75,""SSC"":""Est Mauris Associates"",""SSC_percentage"":95}","[""Romanian"",""Albanian"",""English""]","[""Sigging"",""Reading"",""Dancing""]",
"5e01fcb8951cac7c7483be5c","{""first_name"":""Dharmesh"",""last_name"":""Patel""}","{""Residential_add"":""Bihar"",""Permanent_add"":""Tamil Nadu""}","[""+251 480 245 1965"",""+7 218 930 8501""]","vitae.sodales.at@augueSedmolestie.co.uk","2004-09-09"," Female","O-","MCA","2019","14326096","{""Post_Graduation"":""Eu Industries"",""PG_percentage"":68,""Under_Graduation"":""Facilisis Vitae Orci Company"",""UG_percentage"":36,""HSC"":""Ultricies Incorporated"",""HSC_percentage"":90,""SSC"":""Etiam Imperdiet LLC"",""SSC_percentage"":90}","[""Mongolian"",""Guaraní"",""Korean""]","[""Sigging"",""Writing"",""Dancing""]",
"5e01fcb8951cac7c7483be33","{""first_name"":""Vikesh"",""last_name"":""Singh""}","{""Residential_add"":""Bihar"",""Permanent_add"":""Rajasthan""}","[""+86 581 111 8761"",""+63 418 700 3936""]","vitae@eu.org","2020-03-20"," Female","AB+","MCA","2019","35682830","{""Post_Graduation"":""Nec Urna Incorporated"",""PG_percentage"":79,""Under_Graduation"":""Nonummy Fusce Fermentum Incorporated"",""UG_percentage"":83,""HSC"":""Donec Tempus Lorem Corporation"",""HSC_percentage"":65,""SSC"":""Urna Et Institute"",""SSC_percentage"":37}","[""Aymara"",""Kurdish"",""Belarusian""]","[""Dancing"",""Sigging"",""Reading""]",
"5e01fcb8951cac7c7483be4d","{""first_name"":""Tanima"",""last_name"":""Ismail""}","{""Residential_add"":""Odisha"",""Permanent_add"":""Uttar Pradesh""}","[""+34 200 843 6359"",""+33 763 673 8228""]","montes.nascetur.ridiculus@pedeSuspendisse.com","2011-12-05","Male","O+","MCA","2019","22779634","{""Post_Graduation"":""Porttitor Tellus PC"",""PG_percentage"":53,""Under_Graduation"":""Tincidunt Neque Vitae Foundation"",""UG_percentage"":66,""HSC"":""Lobortis Foundation"",""HSC_percentage"":94,""SSC"":""Velit Company"",""SSC_percentage"":100}","[""Moldovan"",""Punjabi"",""Mongolian""]","[""Swimming"",""Dancing"",""Sigging""]",
